plate	barcode.id
452	LN00000452
453	LN00000453
454	LN00000454
455	LN00000455
456	LN00000456
457	LN00000457
458	LN00000458
459	LN00000459
460	LN00000460
461	LN00000461
462	LN00000462
463	LN00000463
464	LN00000464
465	LN00000465
466	LN00000466
467	LN00000467
468	LN00000468
469	LN00000469
470	LN00000470
471	LN00000471
472	LN00000472
473	LN00000473
474	LN00000474
475	LN00000475
476	LN00000476
477	LN00000477
478	LN00000478
479	LN00000479
480	LN00000480
481	LN00000481
482	LN00000482
483	LN00000483
484	LN00000484
485	LN00000485
486	LN00000486
487	LN00000487
488	LN00000488
489	LN00000489
490	LN00000490
491	LN00000491
492	LN00000492
493	LN00000493
494	LN00000494
495	LN00000495
496	LN00000496
497	LN00000497
498	LN00000498
499	LN00000499
500	LN00000500
501	LN00000501
502	LN00000502
503	LN00000503
504	LN00000504
505	LN00000505
506	LN00000506
507	LN00000507
508	LN00000508
509	LN00000509
510	LN00000510
511	LN00000511
512	LN00000512
513	LN00000513
514	LN00000514
515	LN00000515
516	LN00000516
517	LN00000517
518	LN00000518
519	LN00000519
520	LN00000520
521	LN00000521
522	LN00000522
523	LN00000523
524	LN00000524
525	LN00000525
526	LN00000526
527	LN00000527
528	LN00000528
529	LN00000529
530	LN00000530
531	LN00000531
532	LN00000532
533	LN00000533
534	LN00000534
535	LN00000535
536	LN00000536
537	LN00000537
538	LN00000538
539	LN00000539
540	LN00000540
541	LN00000541
542	LN00000542
543	LN00000543
544	LN00000544
545	LN00000545
546	LN00000546
547	LN00000547
548	LN00000548
549	LN00000549
550	LN00000550
551	LN00000551
552	LN00000552
553	LN00000553
554	LN00000554
555	LN00000555
556	LN00000556
557	LN00000557
558	LN00000558
559	LN00000559
560	LN00000560
561	LN00000561
562	LN00000562
563	LN00000563
564	LN00000564
565	LN00000565
566	LN00000566
567	LN00000567
568	LN00000568
569	LN00000569
570	LN00000570
571	LN00000571
572	LN00000572
573	LN00000573
574	LN00000574
575	LN00000575
576	LN00000576
577	LN00000577
578	LN00000578
579	LN00000579
580	LN00000580
581	LN00000581
582	LN00000582
583	LN00000583
584	LN00000584
585	LN00000585
586	LN00000586
587	LN00000587
588	LN00000588
589	LN00000589
590	LN00000590
591	LN00000591
592	LN00000592
593	LN00000593
594	LN00000594
595	LN00000595
596	LN00000596
597	LN00000597
598	LN00000598
599	LN00000599
600	LN00000600
601	LN00000601
602	LN00000602
603	LN00000603
604	LN00000604
605	LN00000605
606	LN00000606
607	LN00000607
608	LN00000608
609	LN00000609
610	LN00000610
611	LN00000611
612	LN00000612
613	LN00000613
614	LN00000614
615	LN00000615
616	LN00000616
617	LN00000617
618	LN00000618
619	LN00000619
620	LN00000620
621	LN00000621
622	LN00000622
623	LN00000623
624	LN00000624
625	LN00000625
626	LN00000626
627	LN00000627
628	LN00000628
629	LN00000629
630	LN00000630
631	LN00000631
632	LN00000632
633	LN00000633
634	LN00000634
635	LN00000635
636	LN00000636
637	LN00000637
638	LN00000638
639	LN00000639
640	LN00000640
641	LN00000641
642	LN00000642
643	LN00000643
644	LN00000644
645	LN00000645
646	LN00000646
647	LN00000647
648	LN00000648
649	LN00000649
650	LN00000650
651	LN00000651
652	LN00000652
653	LN00000653
654	LN00000654
655	LN00000655
656	LN00000656
657	LN00000657
658	LN00000658
659	LN00000659
660	LN00000660
661	LN00000661
662	LN00000662
663	LN00000663
664	LN00000664
665	LN00000665
666	LN00000666
667	LN00000667
668	LN00000668
669	LN00000669
670	LN00000670
671	LN00000671
672	LN00000672
673	LN00000673
674	LN00000674
675	LN00000675
676	LN00000676
677	LN00000677
678	LN00000678
679	LN00000679
680	LN00000680
681	LN00000681
682	LN00000682
683	LN00000683
684	LN00000684
685	LN00000685
686	LN00000686
687	LN00000687
688	LN00000688
689	LN00000689
690	LN00000690
691	LN00000691
692	LN00000692
693	LN00000693
694	LN00000694
695	LN00000695
696	LN00000696
697	LN00000697
698	LN00000698
699	LN00000699
700	LN00000700
701	LN00000701
702	LN00000702
703	LN00000703
704	LN00000704
705	LN00000705
706	LN00000706
707	LN00000707
708	LN00000708
709	LN00000709
710	LN00000710
711	LN00000711
712	LN00000712
713	LN00000713
714	LN00000714
715	LN00000715
716	LN00000716
717	LN00000717
718	LN00000718
719	LN00000719
720	LN00000720
721	LN00000721
722	LN00000722
723	LN00000723
724	LN00000724
725	LN00000725
726	LN00000726
727	LN00000727
728	LN00000728
729	LN00000729
730	LN00000730
731	LN00000731
732	LN00000732
733	LN00000733
734	LN00000734
735	LN00000735
736	LN00000736
737	LN00000737
738	LN00000738
739	LN00000739
740	LN00000740
741	LN00000741
742	LN00000742
743	LN00000743
744	LN00000744
745	LN00000745
746	LN00000746
747	LN00000747
748	LN00000748
749	LN00000749
750	LN00000750
751	LN00000751
752	LN00000752
753	LN00000753
754	LN00000754
755	LN00000755
756	LN00000756
757	LN00000757
758	LN00000758
759	LN00000759
760	LN00000760
761	LN00000761
762	LN00000762
763	LN00000763
764	LN00000764
765	LN00000765
766	LN00000766
767	LN00000767
768	LN00000768
769	LN00000769
770	LN00000770
771	LN00000771
772	LN00000772
773	LN00000773
774	LN00000774
775	LN00000775
776	LN00000776
777	LN00000777
778	LN00000778
779	LN00000779
780	LN00000780
781	LN00000781
782	LN00000782
783	LN00000783
784	LN00000784
785	LN00000785
786	LN00000786
787	LN00000787
788	LN00000788
789	LN00000789
790	LN00000790
791	LN00000791
792	LN00000792
793	LN00000793
794	LN00000794
795	LN00000795
796	LN00000796
797	LN00000797
798	LN00000798
799	LN00000799
800	LN00000800
801	LN00000801
802	LN00000802
803	LN00000803
804	LN00000804
805	LN00000805
806	LN00000806
807	LN00000807
808	LN00000808
809	LN00000809
810	LN00000810
811	LN00000811
812	LN00000812
813	LN00000813
814	LN00000814
815	LN00000815
816	LN00000816
817	LN00000817
818	LN00000818
819	LN00000819
820	LN00000820
821	LN00000821
822	LN00000822
823	LN00000823
824	LN00000824
825	LN00000825
826	LN00000826
827	LN00000827
828	LN00000828
829	LN00000829
830	LN00000830
831	LN00000831
832	LN00000832
833	LN00000833
834	LN00000834
835	LN00000835
836	LN00000836
837	LN00000837
838	LN00000838
839	LN00000839
840	LN00000840
841	LN00000841
842	LN00000842
843	LN00000843
844	LN00000844
845	LN00000845
846	LN00000846
847	LN00000847
848	LN00000848
849	LN00000849
850	LN00000850
851	LN00000851
852	LN00000852
853	LN00000853
854	LN00000854
855	LN00000855
856	LN00000856
857	LN00000857
858	LN00000858
859	LN00000859
860	LN00000860
861	LN00000861
862	LN00000862
863	LN00000863
864	LN00000864
865	LN00000865
866	LN00000866
867	LN00000867
868	LN00000868
869	LN00000869
870	LN00000870
871	LN00000871
872	LN00000872
873	LN00000873
874	LN00000874
875	LN00000875
876	LN00000876
877	LN00000877
878	LN00000878
879	LN00000879
880	LN00000880
881	LN00000881
882	LN00000882
883	LN00000883
884	LN00000884
885	LN00000885
886	LN00000886
887	LN00000887
888	LN00000888
889	LN00000889
890	LN00000890
891	LN00000891
892	LN00000892
893	LN00000893
894	LN00000894
895	LN00000895
896	LN00000896
897	LN00000897
898	LN00000898
899	LN00000899
900	LN00000900
901	LN00000901
902	LN00000902
903	LN00000903
904	LN00000904
905	LN00000905
906	LN00000906
907	LN00000907
908	LN00000908
909	LN00000909
910	LN00000910
911	LN00000911
912	LN00000912
913	LN00000913
914	LN00000914
915	LN00000915
916	LN00000916
917	LN00000917
918	LN00000918
919	LN00000919
920	LN00000920
921	LN00000921
922	LN00000922
923	LN00000923
924	LN00000924
925	LN00000925
926	LN00000926
927	LN00000927
928	LN00000928
929	LN00000929
930	LN00000930
931	LN00000931
932	LN00000932
933	LN00000933
934	LN00000934
935	LN00000935
936	LN00000936
937	LN00000937
938	LN00000938
939	LN00000939
940	LN00000940
941	LN00000941
942	LN00000942
943	LN00000943
944	LN00000944
945	LN00000945
946	LN00000946
947	LN00000947
948	LN00000948
949	LN00000949
950	LN00000950
951	LN00000951
952	LN00000952
953	LN00000953
954	LN00000954
955	LN00000955
956	LN00000956
957	LN00000957
958	LN00000958
959	LN00000959
960	LN00000960
961	LN00000961
962	LN00000962
963	LN00000963
964	LN00000964
965	LN00000965
966	LN00000966
967	LN00000967
968	LN00000968
969	LN00000969
970	LN00000970
971	LN00000971
972	LN00000972
973	LN00000973
974	LN00000974
975	LN00000975
976	LN00000976
977	LN00000977
978	LN00000978
979	LN00000979
980	LN00000980
981	LN00000981
982	LN00000982
983	LN00000983
984	LN00000984
985	LN00000985
986	LN00000986
987	LN00000987
988	LN00000988
989	LN00000989
990	LN00000990
991	LN00000991
992	LN00000992
993	LN00000993
994	LN00000994
995	LN00000995
996	LN00000996
997	LN00000997
998	LN00000998
999	LN00000999
1000	LN00001000
