format	wellname	row	rownum	col	totcolcount	byrow	bycol	quad	parentwell
96	D09	D	4	9	12	45	68	1	0
96	E09	E	5	9	12	57	69	1	0
96	F09	F	6	9	12	69	70	1	0
96	G09	G	7	9	12	81	71	1	0
96	H09	H	8	9	12	93	72	1	0
96	A10	A	1	10	12	10	73	1	0
96	B10	B	2	10	12	22	74	1	0
96	C10	C	3	10	12	34	75	1	0
96	D10	D	4	10	12	46	76	1	0
96	E10	E	5	10	12	58	77	1	0
96	F10	F	6	10	12	70	78	1	0
96	G10	G	7	10	12	82	79	1	0
96	H10	H	8	10	12	94	80	1	0
96	A11	A	1	11	12	11	81	1	0
96	B11	B	2	11	12	23	82	1	0
96	C11	C	3	11	12	35	83	1	0
96	D11	D	4	11	12	47	84	1	0
96	E11	E	5	11	12	59	85	1	0
96	F11	F	6	11	12	71	86	1	0
96	G11	G	7	11	12	83	87	1	0
96	H11	H	8	11	12	95	88	1	0
96	A12	A	1	12	12	12	89	1	0
96	B12	B	2	12	12	24	90	1	0
96	C12	C	3	12	12	36	91	1	0
96	D12	D	4	12	12	48	92	1	0
96	E12	E	5	12	12	60	93	1	0
96	F12	F	6	12	12	72	94	1	0
96	G12	G	7	12	12	84	95	1	0
96	H12	H	8	12	12	96	96	1	0
384	A01	A	1	1	24	1	1	1	1
384	B01	B	2	1	24	25	2	3	1
384	C01	C	3	1	24	49	3	1	2
384	D01	D	4	1	24	73	4	3	2
384	E01	E	5	1	24	97	5	1	3
384	F01	F	6	1	24	121	6	3	3
384	G01	G	7	1	24	145	7	1	4
384	H01	H	8	1	24	169	8	3	4
384	I01	I	9	1	24	193	9	1	5
384	J01	J	10	1	24	217	10	3	5
384	K01	K	11	1	24	241	11	1	6
384	L01	L	12	1	24	265	12	3	6
384	M01	M	13	1	24	289	13	1	7
384	N01	N	14	1	24	313	14	3	7
384	O01	O	15	1	24	337	15	1	8
384	P01	P	16	1	24	361	16	3	8
384	A02	A	1	2	24	2	17	2	1
384	B02	B	2	2	24	26	18	4	1
384	C02	C	3	2	24	50	19	2	2
384	D02	D	4	2	24	74	20	4	2
384	E02	E	5	2	24	98	21	2	3
384	F02	F	6	2	24	122	22	4	3
384	G02	G	7	2	24	146	23	2	4
384	H02	H	8	2	24	170	24	4	4
384	I02	I	9	2	24	194	25	2	5
384	J02	J	10	2	24	218	26	4	5
384	K02	K	11	2	24	242	27	2	6
384	L02	L	12	2	24	266	28	4	6
384	M02	M	13	2	24	290	29	2	7
384	N02	N	14	2	24	314	30	4	7
384	O02	O	15	2	24	338	31	2	8
384	P02	P	16	2	24	362	32	4	8
384	A03	A	1	3	24	3	33	1	9
384	B03	B	2	3	24	27	34	3	9
384	C03	C	3	3	24	51	35	1	10
384	D03	D	4	3	24	75	36	3	10
384	E03	E	5	3	24	99	37	1	11
384	F03	F	6	3	24	123	38	3	11
384	G03	G	7	3	24	147	39	1	12
384	H03	H	8	3	24	171	40	3	12
384	I03	I	9	3	24	195	41	1	13
384	J03	J	10	3	24	219	42	3	13
384	K03	K	11	3	24	243	43	1	14
384	L03	L	12	3	24	267	44	3	14
384	M03	M	13	3	24	291	45	1	15
384	N03	N	14	3	24	315	46	3	15
384	O03	O	15	3	24	339	47	1	16
384	P03	P	16	3	24	363	48	3	16
384	A04	A	1	4	24	4	49	2	9
384	B04	B	2	4	24	28	50	4	9
384	C04	C	3	4	24	52	51	2	10
384	D04	D	4	4	24	76	52	4	10
384	E04	E	5	4	24	100	53	2	11
384	F04	F	6	4	24	124	54	4	11
384	G04	G	7	4	24	148	55	2	12
384	H04	H	8	4	24	172	56	4	12
384	I04	I	9	4	24	196	57	2	13
384	J04	J	10	4	24	220	58	4	13
384	K04	K	11	4	24	244	59	2	14
384	L04	L	12	4	24	268	60	4	14
384	M04	M	13	4	24	292	61	2	15
384	N04	N	14	4	24	316	62	4	15
384	O04	O	15	4	24	340	63	2	16
384	P04	P	16	4	24	364	64	4	16
384	A05	A	1	5	24	5	65	1	17
384	B05	B	2	5	24	29	66	3	17
384	C05	C	3	5	24	53	67	1	18
384	D05	D	4	5	24	77	68	3	18
384	E05	E	5	5	24	101	69	1	19
384	F05	F	6	5	24	125	70	3	19
384	G05	G	7	5	24	149	71	1	20
384	H05	H	8	5	24	173	72	3	20
384	I05	I	9	5	24	197	73	1	21
384	J05	J	10	5	24	221	74	3	21
384	K05	K	11	5	24	245	75	1	22
384	L05	L	12	5	24	269	76	3	22
384	M05	M	13	5	24	293	77	1	23
384	N05	N	14	5	24	317	78	3	23
384	O05	O	15	5	24	341	79	1	24
384	P05	P	16	5	24	365	80	3	24
384	A06	A	1	6	24	6	81	2	17
384	B06	B	2	6	24	30	82	4	17
384	C06	C	3	6	24	54	83	2	18
384	D06	D	4	6	24	78	84	4	18
384	E06	E	5	6	24	102	85	2	19
384	F06	F	6	6	24	126	86	4	19
384	G06	G	7	6	24	150	87	2	20
384	H06	H	8	6	24	174	88	4	20
384	I06	I	9	6	24	198	89	2	21
384	J06	J	10	6	24	222	90	4	21
384	K06	K	11	6	24	246	91	2	22
384	L06	L	12	6	24	270	92	4	22
384	M06	M	13	6	24	294	93	2	23
384	N06	N	14	6	24	318	94	4	23
384	O06	O	15	6	24	342	95	2	24
384	P06	P	16	6	24	366	96	4	24
384	A07	A	1	7	24	7	97	1	25
384	B07	B	2	7	24	31	98	3	25
384	C07	C	3	7	24	55	99	1	26
384	D07	D	4	7	24	79	100	3	26
384	E07	E	5	7	24	103	101	1	27
384	F07	F	6	7	24	127	102	3	27
384	G07	G	7	7	24	151	103	1	28
384	H07	H	8	7	24	175	104	3	28
384	I07	I	9	7	24	199	105	1	29
384	J07	J	10	7	24	223	106	3	29
384	K07	K	11	7	24	247	107	1	30
384	L07	L	12	7	24	271	108	3	30
384	M07	M	13	7	24	295	109	1	31
384	N07	N	14	7	24	319	110	3	31
384	O07	O	15	7	24	343	111	1	32
384	P07	P	16	7	24	367	112	3	32
384	A08	A	1	8	24	8	113	2	25
384	B08	B	2	8	24	32	114	4	25
384	C08	C	3	8	24	56	115	2	26
384	D08	D	4	8	24	80	116	4	26
384	E08	E	5	8	24	104	117	2	27
384	F08	F	6	8	24	128	118	4	27
384	G08	G	7	8	24	152	119	2	28
384	H08	H	8	8	24	176	120	4	28
384	I08	I	9	8	24	200	121	2	29
384	J08	J	10	8	24	224	122	4	29
384	K08	K	11	8	24	248	123	2	30
384	L08	L	12	8	24	272	124	4	30
384	M08	M	13	8	24	296	125	2	31
384	N08	N	14	8	24	320	126	4	31
384	O08	O	15	8	24	344	127	2	32
384	P08	P	16	8	24	368	128	4	32
384	A09	A	1	9	24	9	129	1	33
384	B09	B	2	9	24	33	130	3	33
384	C09	C	3	9	24	57	131	1	34
384	D09	D	4	9	24	81	132	3	34
384	E09	E	5	9	24	105	133	1	35
384	F09	F	6	9	24	129	134	3	35
384	G09	G	7	9	24	153	135	1	36
384	H09	H	8	9	24	177	136	3	36
384	I09	I	9	9	24	201	137	1	37
384	J09	J	10	9	24	225	138	3	37
384	K09	K	11	9	24	249	139	1	38
384	L09	L	12	9	24	273	140	3	38
384	M09	M	13	9	24	297	141	1	39
384	N09	N	14	9	24	321	142	3	39
384	O09	O	15	9	24	345	143	1	40
384	P09	P	16	9	24	369	144	3	40
384	A10	A	1	10	24	10	145	2	33
384	B10	B	2	10	24	34	146	4	33
384	C10	C	3	10	24	58	147	2	34
384	D10	D	4	10	24	82	148	4	34
384	E10	E	5	10	24	106	149	2	35
384	F10	F	6	10	24	130	150	4	35
384	G10	G	7	10	24	154	151	2	36
384	H10	H	8	10	24	178	152	4	36
384	I10	I	9	10	24	202	153	2	37
384	J10	J	10	10	24	226	154	4	37
384	K10	K	11	10	24	250	155	2	38
384	L10	L	12	10	24	274	156	4	38
384	M10	M	13	10	24	298	157	2	39
384	N10	N	14	10	24	322	158	4	39
384	O10	O	15	10	24	346	159	2	40
384	P10	P	16	10	24	370	160	4	40
384	A11	A	1	11	24	11	161	1	41
384	B11	B	2	11	24	35	162	3	41
384	C11	C	3	11	24	59	163	1	42
384	D11	D	4	11	24	83	164	3	42
384	E11	E	5	11	24	107	165	1	43
384	F11	F	6	11	24	131	166	3	43
384	G11	G	7	11	24	155	167	1	44
384	H11	H	8	11	24	179	168	3	44
384	I11	I	9	11	24	203	169	1	45
384	J11	J	10	11	24	227	170	3	45
384	K11	K	11	11	24	251	171	1	46
384	L11	L	12	11	24	275	172	3	46
384	M11	M	13	11	24	299	173	1	47
384	N11	N	14	11	24	323	174	3	47
384	O11	O	15	11	24	347	175	1	48
384	P11	P	16	11	24	371	176	3	48
384	A12	A	1	12	24	12	177	2	41
384	B12	B	2	12	24	36	178	4	41
384	C12	C	3	12	24	60	179	2	42
384	D12	D	4	12	24	84	180	4	42
384	E12	E	5	12	24	108	181	2	43
384	F12	F	6	12	24	132	182	4	43
384	G12	G	7	12	24	156	183	2	44
384	H12	H	8	12	24	180	184	4	44
384	I12	I	9	12	24	204	185	2	45
384	J12	J	10	12	24	228	186	4	45
384	K12	K	11	12	24	252	187	2	46
384	L12	L	12	12	24	276	188	4	46
384	M12	M	13	12	24	300	189	2	47
384	N12	N	14	12	24	324	190	4	47
384	O12	O	15	12	24	348	191	2	48
384	P12	P	16	12	24	372	192	4	48
384	A13	A	1	13	24	13	193	1	49
384	B13	B	2	13	24	37	194	3	49
384	C13	C	3	13	24	61	195	1	50
384	D13	D	4	13	24	85	196	3	50
384	E13	E	5	13	24	109	197	1	51
384	F13	F	6	13	24	133	198	3	51
384	G13	G	7	13	24	157	199	1	52
384	H13	H	8	13	24	181	200	3	52
384	I13	I	9	13	24	205	201	1	53
384	J13	J	10	13	24	229	202	3	53
384	K13	K	11	13	24	253	203	1	54
384	L13	L	12	13	24	277	204	3	54
384	M13	M	13	13	24	301	205	1	55
384	N13	N	14	13	24	325	206	3	55
384	O13	O	15	13	24	349	207	1	56
384	P13	P	16	13	24	373	208	3	56
384	A14	A	1	14	24	14	209	2	49
384	B14	B	2	14	24	38	210	4	49
384	C14	C	3	14	24	62	211	2	50
384	D14	D	4	14	24	86	212	4	50
384	E14	E	5	14	24	110	213	2	51
384	F14	F	6	14	24	134	214	4	51
384	G14	G	7	14	24	158	215	2	52
384	H14	H	8	14	24	182	216	4	52
384	I14	I	9	14	24	206	217	2	53
384	J14	J	10	14	24	230	218	4	53
384	K14	K	11	14	24	254	219	2	54
384	L14	L	12	14	24	278	220	4	54
384	M14	M	13	14	24	302	221	2	55
384	N14	N	14	14	24	326	222	4	55
384	O14	O	15	14	24	350	223	2	56
384	P14	P	16	14	24	374	224	4	56
384	A15	A	1	15	24	15	225	1	57
384	B15	B	2	15	24	39	226	3	57
384	C15	C	3	15	24	63	227	1	58
384	D15	D	4	15	24	87	228	3	58
384	E15	E	5	15	24	111	229	1	59
384	F15	F	6	15	24	135	230	3	59
384	G15	G	7	15	24	159	231	1	60
384	H15	H	8	15	24	183	232	3	60
384	I15	I	9	15	24	207	233	1	61
384	J15	J	10	15	24	231	234	3	61
384	K15	K	11	15	24	255	235	1	62
384	L15	L	12	15	24	279	236	3	62
384	M15	M	13	15	24	303	237	1	63
384	N15	N	14	15	24	327	238	3	63
384	O15	O	15	15	24	351	239	1	64
384	P15	P	16	15	24	375	240	3	64
384	A16	A	1	16	24	16	241	2	57
384	B16	B	2	16	24	40	242	4	57
384	C16	C	3	16	24	64	243	2	58
384	D16	D	4	16	24	88	244	4	58
384	E16	E	5	16	24	112	245	2	59
384	F16	F	6	16	24	136	246	4	59
384	G16	G	7	16	24	160	247	2	60
384	H16	H	8	16	24	184	248	4	60
384	I16	I	9	16	24	208	249	2	61
384	J16	J	10	16	24	232	250	4	61
384	K16	K	11	16	24	256	251	2	62
384	L16	L	12	16	24	280	252	4	62
384	M16	M	13	16	24	304	253	2	63
384	N16	N	14	16	24	328	254	4	63
384	O16	O	15	16	24	352	255	2	64
384	P16	P	16	16	24	376	256	4	64
384	A17	A	1	17	24	17	257	1	65
384	B17	B	2	17	24	41	258	3	65
384	C17	C	3	17	24	65	259	1	66
384	D17	D	4	17	24	89	260	3	66
384	E17	E	5	17	24	113	261	1	67
384	F17	F	6	17	24	137	262	3	67
384	G17	G	7	17	24	161	263	1	68
384	H17	H	8	17	24	185	264	3	68
384	I17	I	9	17	24	209	265	1	69
384	J17	J	10	17	24	233	266	3	69
384	K17	K	11	17	24	257	267	1	70
384	L17	L	12	17	24	281	268	3	70
384	M17	M	13	17	24	305	269	1	71
384	N17	N	14	17	24	329	270	3	71
384	O17	O	15	17	24	353	271	1	72
384	P17	P	16	17	24	377	272	3	72
384	A18	A	1	18	24	18	273	2	65
384	B18	B	2	18	24	42	274	4	65
384	C18	C	3	18	24	66	275	2	66
384	D18	D	4	18	24	90	276	4	66
384	E18	E	5	18	24	114	277	2	67
384	F18	F	6	18	24	138	278	4	67
384	G18	G	7	18	24	162	279	2	68
384	H18	H	8	18	24	186	280	4	68
384	I18	I	9	18	24	210	281	2	69
384	J18	J	10	18	24	234	282	4	69
384	K18	K	11	18	24	258	283	2	70
384	L18	L	12	18	24	282	284	4	70
384	M18	M	13	18	24	306	285	2	71
384	N18	N	14	18	24	330	286	4	71
384	O18	O	15	18	24	354	287	2	72
384	P18	P	16	18	24	378	288	4	72
384	A19	A	1	19	24	19	289	1	73
384	B19	B	2	19	24	43	290	3	73
384	C19	C	3	19	24	67	291	1	74
384	D19	D	4	19	24	91	292	3	74
384	E19	E	5	19	24	115	293	1	75
384	F19	F	6	19	24	139	294	3	75
384	G19	G	7	19	24	163	295	1	76
384	H19	H	8	19	24	187	296	3	76
384	I19	I	9	19	24	211	297	1	77
384	J19	J	10	19	24	235	298	3	77
384	K19	K	11	19	24	259	299	1	78
384	L19	L	12	19	24	283	300	3	78
384	M19	M	13	19	24	307	301	1	79
384	N19	N	14	19	24	331	302	3	79
384	O19	O	15	19	24	355	303	1	80
384	P19	P	16	19	24	379	304	3	80
384	A20	A	1	20	24	20	305	2	73
384	B20	B	2	20	24	44	306	4	73
384	C20	C	3	20	24	68	307	2	74
384	D20	D	4	20	24	92	308	4	74
384	E20	E	5	20	24	116	309	2	75
384	F20	F	6	20	24	140	310	4	75
384	G20	G	7	20	24	164	311	2	76
384	H20	H	8	20	24	188	312	4	76
384	I20	I	9	20	24	212	313	2	77
384	J20	J	10	20	24	236	314	4	77
384	K20	K	11	20	24	260	315	2	78
384	L20	L	12	20	24	284	316	4	78
384	M20	M	13	20	24	308	317	2	79
384	N20	N	14	20	24	332	318	4	79
384	O20	O	15	20	24	356	319	2	80
384	P20	P	16	20	24	380	320	4	80
384	A21	A	1	21	24	21	321	1	81
384	B21	B	2	21	24	45	322	3	81
384	C21	C	3	21	24	69	323	1	82
384	D21	D	4	21	24	93	324	3	82
384	E21	E	5	21	24	117	325	1	83
384	F21	F	6	21	24	141	326	3	83
384	G21	G	7	21	24	165	327	1	84
384	H21	H	8	21	24	189	328	3	84
384	I21	I	9	21	24	213	329	1	85
384	J21	J	10	21	24	237	330	3	85
384	K21	K	11	21	24	261	331	1	86
384	L21	L	12	21	24	285	332	3	86
384	M21	M	13	21	24	309	333	1	87
384	N21	N	14	21	24	333	334	3	87
384	O21	O	15	21	24	357	335	1	88
384	P21	P	16	21	24	381	336	3	88
384	A22	A	1	22	24	22	337	2	81
384	B22	B	2	22	24	46	338	4	81
384	C22	C	3	22	24	70	339	2	82
384	D22	D	4	22	24	94	340	4	82
384	E22	E	5	22	24	118	341	2	83
384	F22	F	6	22	24	142	342	4	83
384	G22	G	7	22	24	166	343	2	84
384	H22	H	8	22	24	190	344	4	84
384	I22	I	9	22	24	214	345	2	85
384	J22	J	10	22	24	238	346	4	85
384	K22	K	11	22	24	262	347	2	86
384	L22	L	12	22	24	286	348	4	86
384	M22	M	13	22	24	310	349	2	87
384	N22	N	14	22	24	334	350	4	87
384	O22	O	15	22	24	358	351	2	88
384	P22	P	16	22	24	382	352	4	88
384	A23	A	1	23	24	23	353	1	89
384	B23	B	2	23	24	47	354	3	89
384	C23	C	3	23	24	71	355	1	90
384	D23	D	4	23	24	95	356	3	90
384	E23	E	5	23	24	119	357	1	91
384	F23	F	6	23	24	143	358	3	91
384	G23	G	7	23	24	167	359	1	92
384	H23	H	8	23	24	191	360	3	92
384	I23	I	9	23	24	215	361	1	93
384	J23	J	10	23	24	239	362	3	93
384	K23	K	11	23	24	263	363	1	94
384	L23	L	12	23	24	287	364	3	94
384	M23	M	13	23	24	311	365	1	95
384	N23	N	14	23	24	335	366	3	95
384	O23	O	15	23	24	359	367	1	96
384	P23	P	16	23	24	383	368	3	96
384	A24	A	1	24	24	24	369	2	89
384	B24	B	2	24	24	48	370	4	89
384	C24	C	3	24	24	72	371	2	90
384	D24	D	4	24	24	96	372	4	90
384	E24	E	5	24	24	120	373	2	91
384	F24	F	6	24	24	144	374	4	91
384	G24	G	7	24	24	168	375	2	92
384	H24	H	8	24	24	192	376	4	92
384	I24	I	9	24	24	216	377	2	93
384	J24	J	10	24	24	240	378	4	93
384	K24	K	11	24	24	264	379	2	94
384	L24	L	12	24	24	288	380	4	94
384	M24	M	13	24	24	312	381	2	95
384	N24	N	14	24	24	336	382	4	95
384	O24	O	15	24	24	360	383	2	96
384	P24	P	16	24	24	384	384	4	96
1536	A01	A	1	1	48	1	1	1	1
1536	C01	C	3	1	48	97	3	1	2
1536	E01	E	5	1	48	193	5	1	3
1536	G01	G	7	1	48	289	7	1	4
1536	I01	I	9	1	48	385	9	1	5
1536	K01	K	11	1	48	481	11	1	6
1536	M01	M	13	1	48	577	13	1	7
1536	O01	O	15	1	48	673	15	1	8
1536	Q01	Q	17	1	48	769	17	1	9
1536	S01	S	19	1	48	865	19	1	10
1536	U01	U	21	1	48	961	21	1	11
1536	W01	W	23	1	48	1057	23	1	12
1536	Y01	Y	25	1	48	1153	25	1	13
1536	AA01	AA	27	1	48	1249	27	1	14
1536	AC01	AC	29	1	48	1345	29	1	15
1536	AE01	AE	31	1	48	1441	31	1	16
1536	A03	A	1	3	48	3	65	1	17
1536	C03	C	3	3	48	99	67	1	18
1536	E03	E	5	3	48	195	69	1	19
1536	G03	G	7	3	48	291	71	1	20
1536	I03	I	9	3	48	387	73	1	21
1536	K03	K	11	3	48	483	75	1	22
1536	M03	M	13	3	48	579	77	1	23
1536	O03	O	15	3	48	675	79	1	24
1536	Q03	Q	17	3	48	771	81	1	25
1536	S03	S	19	3	48	867	83	1	26
1536	U03	U	21	3	48	963	85	1	27
1536	W03	W	23	3	48	1059	87	1	28
1536	Y03	Y	25	3	48	1155	89	1	29
1536	AA03	AA	27	3	48	1251	91	1	30
1536	AC03	AC	29	3	48	1347	93	1	31
1536	AE03	AE	31	3	48	1443	95	1	32
1536	A05	A	1	5	48	5	129	1	33
1536	C05	C	3	5	48	101	131	1	34
1536	E05	E	5	5	48	197	133	1	35
1536	G05	G	7	5	48	293	135	1	36
1536	I05	I	9	5	48	389	137	1	37
1536	K05	K	11	5	48	485	139	1	38
1536	M05	M	13	5	48	581	141	1	39
1536	O05	O	15	5	48	677	143	1	40
1536	Q05	Q	17	5	48	773	145	1	41
1536	S05	S	19	5	48	869	147	1	42
1536	U05	U	21	5	48	965	149	1	43
1536	W05	W	23	5	48	1061	151	1	44
1536	Y05	Y	25	5	48	1157	153	1	45
1536	AA05	AA	27	5	48	1253	155	1	46
1536	AC05	AC	29	5	48	1349	157	1	47
1536	AE05	AE	31	5	48	1445	159	1	48
1536	A07	A	1	7	48	7	193	1	49
1536	C07	C	3	7	48	103	195	1	50
1536	E07	E	5	7	48	199	197	1	51
1536	G07	G	7	7	48	295	199	1	52
1536	I07	I	9	7	48	391	201	1	53
1536	K07	K	11	7	48	487	203	1	54
1536	M07	M	13	7	48	583	205	1	55
1536	O07	O	15	7	48	679	207	1	56
1536	Q07	Q	17	7	48	775	209	1	57
1536	S07	S	19	7	48	871	211	1	58
1536	U07	U	21	7	48	967	213	1	59
1536	W07	W	23	7	48	1063	215	1	60
1536	Y07	Y	25	7	48	1159	217	1	61
1536	AA07	AA	27	7	48	1255	219	1	62
1536	AC07	AC	29	7	48	1351	221	1	63
1536	AE07	AE	31	7	48	1447	223	1	64
1536	A09	A	1	9	48	9	257	1	65
1536	C09	C	3	9	48	105	259	1	66
1536	E09	E	5	9	48	201	261	1	67
1536	G09	G	7	9	48	297	263	1	68
1536	I09	I	9	9	48	393	265	1	69
1536	K09	K	11	9	48	489	267	1	70
1536	M09	M	13	9	48	585	269	1	71
1536	O09	O	15	9	48	681	271	1	72
1536	Q09	Q	17	9	48	777	273	1	73
1536	S09	S	19	9	48	873	275	1	74
1536	U09	U	21	9	48	969	277	1	75
1536	W09	W	23	9	48	1065	279	1	76
1536	Y09	Y	25	9	48	1161	281	1	77
1536	AA09	AA	27	9	48	1257	283	1	78
1536	AC09	AC	29	9	48	1353	285	1	79
1536	AE09	AE	31	9	48	1449	287	1	80
1536	A11	A	1	11	48	11	321	1	81
1536	C11	C	3	11	48	107	323	1	82
1536	E11	E	5	11	48	203	325	1	83
1536	G11	G	7	11	48	299	327	1	84
1536	I11	I	9	11	48	395	329	1	85
1536	K11	K	11	11	48	491	331	1	86
1536	M11	M	13	11	48	587	333	1	87
1536	O11	O	15	11	48	683	335	1	88
1536	Q11	Q	17	11	48	779	337	1	89
1536	S11	S	19	11	48	875	339	1	90
1536	U11	U	21	11	48	971	341	1	91
1536	W11	W	23	11	48	1067	343	1	92
1536	Y11	Y	25	11	48	1163	345	1	93
1536	AA11	AA	27	11	48	1259	347	1	94
1536	AC11	AC	29	11	48	1355	349	1	95
1536	AE11	AE	31	11	48	1451	351	1	96
1536	A13	A	1	13	48	13	385	1	97
1536	C13	C	3	13	48	109	387	1	98
1536	E13	E	5	13	48	205	389	1	99
1536	G13	G	7	13	48	301	391	1	100
1536	I13	I	9	13	48	397	393	1	101
1536	K13	K	11	13	48	493	395	1	102
1536	M13	M	13	13	48	589	397	1	103
1536	O13	O	15	13	48	685	399	1	104
1536	Q13	Q	17	13	48	781	401	1	105
1536	S13	S	19	13	48	877	403	1	106
1536	U13	U	21	13	48	973	405	1	107
1536	W13	W	23	13	48	1069	407	1	108
1536	Y13	Y	25	13	48	1165	409	1	109
1536	AA13	AA	27	13	48	1261	411	1	110
1536	AC13	AC	29	13	48	1357	413	1	111
1536	AE13	AE	31	13	48	1453	415	1	112
1536	A15	A	1	15	48	15	449	1	113
1536	C15	C	3	15	48	111	451	1	114
1536	E15	E	5	15	48	207	453	1	115
1536	G15	G	7	15	48	303	455	1	116
1536	I15	I	9	15	48	399	457	1	117
1536	K15	K	11	15	48	495	459	1	118
1536	M15	M	13	15	48	591	461	1	119
1536	O15	O	15	15	48	687	463	1	120
1536	Q15	Q	17	15	48	783	465	1	121
1536	S15	S	19	15	48	879	467	1	122
1536	U15	U	21	15	48	975	469	1	123
1536	W15	W	23	15	48	1071	471	1	124
1536	Y15	Y	25	15	48	1167	473	1	125
1536	AA15	AA	27	15	48	1263	475	1	126
1536	AC15	AC	29	15	48	1359	477	1	127
1536	AE15	AE	31	15	48	1455	479	1	128
1536	A17	A	1	17	48	17	513	1	129
1536	C17	C	3	17	48	113	515	1	130
1536	E17	E	5	17	48	209	517	1	131
1536	G17	G	7	17	48	305	519	1	132
1536	I17	I	9	17	48	401	521	1	133
1536	K17	K	11	17	48	497	523	1	134
1536	M17	M	13	17	48	593	525	1	135
1536	O17	O	15	17	48	689	527	1	136
1536	Q17	Q	17	17	48	785	529	1	137
1536	S17	S	19	17	48	881	531	1	138
1536	U17	U	21	17	48	977	533	1	139
1536	W17	W	23	17	48	1073	535	1	140
1536	Y17	Y	25	17	48	1169	537	1	141
1536	AA17	AA	27	17	48	1265	539	1	142
1536	AC17	AC	29	17	48	1361	541	1	143
1536	AE17	AE	31	17	48	1457	543	1	144
1536	A19	A	1	19	48	19	577	1	145
1536	C19	C	3	19	48	115	579	1	146
1536	E19	E	5	19	48	211	581	1	147
1536	G19	G	7	19	48	307	583	1	148
1536	I19	I	9	19	48	403	585	1	149
1536	K19	K	11	19	48	499	587	1	150
1536	M19	M	13	19	48	595	589	1	151
1536	O19	O	15	19	48	691	591	1	152
1536	Q19	Q	17	19	48	787	593	1	153
1536	S19	S	19	19	48	883	595	1	154
1536	U19	U	21	19	48	979	597	1	155
1536	W19	W	23	19	48	1075	599	1	156
1536	Y19	Y	25	19	48	1171	601	1	157
1536	AA19	AA	27	19	48	1267	603	1	158
1536	AC19	AC	29	19	48	1363	605	1	159
1536	AE19	AE	31	19	48	1459	607	1	160
1536	A21	A	1	21	48	21	641	1	161
1536	C21	C	3	21	48	117	643	1	162
1536	E21	E	5	21	48	213	645	1	163
1536	G21	G	7	21	48	309	647	1	164
1536	I21	I	9	21	48	405	649	1	165
1536	K21	K	11	21	48	501	651	1	166
1536	M21	M	13	21	48	597	653	1	167
1536	O21	O	15	21	48	693	655	1	168
